,PID,Longitude,Latitude,Neighborhood,Address,NeighborhoodFullname,Directions,BldgType,GarageCars
0,526301100,-93.619754,42.054035,NAmes,3126 NORTHWOOD DR,North Ames,North,1Fam,2.0
1,526302030,-93.618462,42.053406,NAmes,3115 NORTHWOOD DR,North Ames,North,1Fam,2.0
2,526302040,-93.618182,42.053327,NAmes,3113 NORTHWOOD DR,North Ames,North,1Fam,1.0
3,526302110,-93.6188955,42.0530363,NAmes,623 RIVER OAK DR,North Ames,North,1Fam,1.0
4,526302120,-93.6192621,42.0531078,NAmes,627 RIVER OAK DR,North Ames,North,1Fam,3.0
5,526350040,-93.619756,42.053014,NAmes,3109 GROVE AVE,North Ames,North,1Fam,1.0
6,526351010,-93.6193873,42.052659,NAmes,630 RIVER OAK DR,North Ames,North,1Fam,1.0
7,526351030,-93.6188286,42.0525525,NAmes,620 RIVER OAK DR,North Ames,North,1Fam,2.0
8,526351100,-93.619562,42.05139,NAmes,3010 GROVE AVE,North Ames,North,1Fam,2.0
9,526352080,-93.618504,42.051297,NAmes,3006 KELLOGG AVE,North Ames,North,1Fam,2.0
10,526352090,-93.618503,42.051357,NAmes,3010 KELLOGG AVE,North Ames,North,1Fam,2.0
11,526353030,-93.61732,42.051245,NAmes,3004 NORTHWOOD DR,North Ames,North,1Fam,2.0
12,526353050,-93.6163289,42.051446,NAmes,2907 DUFF AVE,North Ames,North,1Fam,2.0
13,526354020,-93.617432,42.050507,NAmes,2919 NORTHWOOD DR,North Ames,North,1Fam,2.0
14,526354070,-93.617424,42.049587,NAmes,2811 NORTHWOOD DR,North Ames,North,1Fam,2.0
15,526355080,-93.615524,42.049322,NAmes,2802 THOMPSON DR,North Ames,North,1Fam,2.0
16,526355170,-93.617273,42.049671,NAmes,2820 NORTHWOOD DR,North Ames,North,1Fam,2.0
17,526355190,-93.61728,42.050443,NAmes,2910 NORTHWOOD DR,North Ames,North,1Fam,2.0
18,527105010,-93.638933,42.060899,Gilbert,4025 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
19,527105030,-93.638925,42.060779,Gilbert,4011 BERKSHIRE AVE,Gilbert,North,1Fam,2.0
