,PID,Longitude,Latitude,Neighborhood
0,526301100,-93.619754,42.054035,NAmes
1,526302030,-93.618462,42.053406,NAmes
2,526302040,-93.618182,42.053327,NAmes
3,526302110,-93.6188955,42.0530363,NAmes
4,526302120,-93.6192621,42.0531078,NAmes
5,526350040,-93.619756,42.053014,NAmes
6,526351010,-93.6193873,42.052659,NAmes
7,526351030,-93.6188286,42.0525525,NAmes
8,526351100,-93.619562,42.05139,NAmes
9,526352080,-93.618504,42.051297,NAmes
10,526352090,-93.618503,42.051357,NAmes
11,526353030,-93.61732,42.051245,NAmes
12,526353050,-93.6163289,42.051446,NAmes
13,526354020,-93.617432,42.050507,NAmes
14,526354070,-93.617424,42.049587,NAmes
15,526355080,-93.615524,42.049322,NAmes
16,526355170,-93.617273,42.049671,NAmes
17,526355190,-93.61728,42.050443,NAmes
18,527105010,-93.638933,42.060899,Gilbert
19,527105030,-93.638925,42.060779,Gilbert
20,527105050,-93.639062,42.05996,Gilbert
21,527105060,-93.639067,42.059909,Gilbert
22,527105070,-93.639388,42.059956,Gilbert
23,527105130,-93.639915,42.063294,Gilbert
24,527105140,-93.63988,42.061275,Gilbert
25,527106010,-93.637871,42.061407,Gilbert
26,527106050,-93.637796,42.061231,Gilbert
27,527106140,-93.638775,42.060771,Gilbert
28,527106150,-93.638778,42.060822,Gilbert
29,527107010,-93.637482,42.060369,Gilbert
30,527107020,-93.637482,42.060425,Gilbert
31,527107030,-93.637566,42.06048,Gilbert
32,527107040,-93.63736,42.060466,Gilbert
33,527107090,-93.636718,42.060639,Gilbert
34,527107120,-93.636378,42.060736,Gilbert
35,527107130,-93.6364,42.060896,Gilbert
36,527107210,-93.636948,42.0623,Gilbert
37,527107240,-93.636373,42.061879,Gilbert
38,527108030,-93.635935,42.062802,Gilbert
39,527108040,-93.635837,42.062798,Gilbert
40,527108060,-93.635798,42.062891,Gilbert
41,527108070,-93.635838,42.062956,Gilbert
42,527108090,-93.635932,42.062956,Gilbert
43,527110020,-93.637442,42.060598,Gilbert
44,527110080,-93.636146,42.061664,Gilbert
45,527110120,-93.636972,42.061326,Gilbert
46,527110130,-93.637189,42.061242,Gilbert
47,527126030,-93.634341,42.063067,StoneBr
48,527127100,-93.634265,42.062903,StoneBr
49,527127140,-93.633876,42.062976,StoneBr
50,527127150,-93.633792,42.062978,StoneBr
51,527131030,-93.633739,42.061981,StoneBr
52,527131110,-93.633781,42.061374,StoneBr
53,527132090,-93.633547,42.061633,StoneBr
54,527140090,-93.633905,42.060865,StoneBr
55,527145080,-93.633826,42.060728,StoneBr
56,527145090,-93.633797,42.06076,StoneBr
57,527146010,-93.633024,42.061178,StoneBr
58,527146030,-93.632852,42.06112,StoneBr
59,527146135,-93.631604,42.060625,StoneBr
60,527158020,-93.635716,42.0591,Gilbert
61,527158090,-93.636345,42.059592,Gilbert
62,527161010,-93.639151,42.059408,Gilbert
63,527161040,-93.63921,42.059283,Gilbert
64,527161090,-93.640613,42.058953,Gilbert
65,527162080,-93.637865,42.059562,Gilbert
66,527162090,-93.637883,42.059517,Gilbert
67,527162110,-93.639069,42.059129,Gilbert
68,527162120,-93.639069,42.059161,Gilbert
69,527162130,-93.639068,42.059193,Gilbert
70,527162140,-93.639068,42.059242,Gilbert
71,527162180,-93.639007,42.059364,Gilbert
72,527163010,-93.636947,42.05848,Gilbert
73,527163020,-93.636949,42.058421,Gilbert
74,527163040,-93.636955,42.058274,Gilbert
75,527163070,-93.637046,42.058059,Gilbert
76,527163080,-93.637848,42.059293,Gilbert
77,527163100,-93.637763,42.059411,Gilbert
78,527163130,-93.637671,42.059645,Gilbert
79,527164020,-93.635824,42.058194,Gilbert
80,527164060,-93.635753,42.05793,Gilbert
81,527164090,-93.636822,42.058173,Gilbert
82,527164120,-93.636798,42.058445,Gilbert
83,527165010,-93.637279,42.05701,Gilbert
84,527165020,-93.637299,42.057006,Gilbert
85,527165100,-93.637917,42.05817,Gilbert
86,527165130,-93.636047,42.057854,Gilbert
87,527165170,-93.635833,42.057533,Gilbert
88,527165230,-93.635951,42.057419,Gilbert
89,527166010,-93.639325,42.058201,Gilbert
90,527166030,-93.639293,42.058201,Gilbert
91,527166040,-93.638647,42.058151,Gilbert
92,527175130,-93.633329,42.057022,Gilbert
93,527180040,-93.634626,42.057268,Gilbert
94,527180100,-93.634644,42.058747,Gilbert
95,527182020,-93.634231,42.059599,StoneBr
