PID,GrLivArea,SalePrice,LotFrontage,LotArea,LotShape,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,TotalBsmtSF,HeatingQC,LowQualFinSF,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageArea,Fence,YrSold,RemodelBool,Age,Totalbathr,FinBsmt_Perc,Outside_Spaces,Condition_Norm,Condition_Feedr_Artery,Condition_PosAN,Condition_RRewns,MSZoning__RH,MSZoning__RM,Alley__1,LandContour__Bnk,LandContour__HLS,LandContour__Low,LotConfig__Corner,LotConfig__CulDSac,LotConfig__FR2,LotConfig__FR3,Neighborhood__Blmngtn,Neighborhood__Blueste,Neighborhood__BrDale,Neighborhood__BrkSide,Neighborhood__ClearCr,Neighborhood__CollgCr,Neighborhood__Crawfor,Neighborhood__Edwards,Neighborhood__Gilbert,Neighborhood__Greens,Neighborhood__GrnHill,Neighborhood__IDOTRR,Neighborhood__Landmrk,Neighborhood__MeadowV,Neighborhood__Mitchel,Neighborhood__NPkVill,Neighborhood__NWAmes,Neighborhood__NoRidge,Neighborhood__NridgHt,Neighborhood__OldTown,Neighborhood__SWISU,Neighborhood__Sawyer,Neighborhood__SawyerW,Neighborhood__Somerst,Neighborhood__StoneBr,Neighborhood__Timber,Neighborhood__Veenker,HouseStyle__1.5Fin,HouseStyle__1.5Unf,HouseStyle__2.5Fin,HouseStyle__2.5Unf,HouseStyle__2Story,HouseStyle__SFoyer,HouseStyle__SLvl,RoofStyle__Flat,RoofStyle__Gambrel,RoofStyle__Hip,RoofStyle__Mansard,RoofStyle__Shed,MasVnrType__BrkCmn,MasVnrType__BrkFace,MasVnrType__Stone,CentralAir__0,Electrical__0,PavedDrive__0,SaleType__Contract,SaleType__Other,PoolArea__1,Foundation__BrkTil,Foundation__PConc,Foundation__Slab,Foundation__Stone,Foundation__Wood,Season__Autumn,Season__Spring,Season__Winter,SaleCondition__Other,NeighborhoodSafety__1,NeighborhoodSafety__2,NeighborhoodSafety__3,NeighborhoodSafety__4,NeighborhoodSafety__5,NeighborhoodSafety__7,NeighborhoodSD__5
909176150,856,126000,81.468023,7890,4,6,6,0.0,3,3,0,856,3,0,3,4,4,1,399,0,2010,1,71,2.0,27.77129522,166,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
905476230,1049,139500,42.0,4235,4,5,5,149.0,4,4,1,1049,3,0,4,5,0,3,266,0,2009,0,25,3.0,90.0,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
911128020,1001,124900,60.0,6060,4,5,9,0.0,4,3,0,837,5,0,4,5,0,1,216,0,2007,1,77,1.0,87.94749403,282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
535377150,1039,114000,80.0,8146,4,4,8,0.0,4,2,0,405,4,0,3,6,0,1,281,0,2009,1,109,1.0,0.0,279,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
534177230,1665,227000,70.0,8400,4,8,6,0.0,4,4,0,810,5,0,4,6,0,3,528,0,2009,0,8,3.5,79.28483354,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
908128060,1922,198500,64.0,7301,4,7,5,500.0,4,0,0,0,5,0,4,7,5,2,672,0,2009,0,6,3.0,0.0,177,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
902135020,936,93000,60.0,6000,4,4,4,0.0,2,2,0,936,3,0,3,4,0,1,576,0,2009,0,56,1.0,0.0,144,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
528228540,1246,187687,53.0,3710,4,7,5,20.0,4,4,3,1146,5,0,4,5,4,3,428,0,2008,1,1,2.0,0.0,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
923426010,889,137500,74.0,12395,4,5,6,0.0,3,3,0,864,3,0,3,6,0,1,484,0,2008,0,24,1.0,74.79768786,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
908186050,1072,140000,35.0,3675,4,6,5,76.0,3,4,3,547,5,0,4,5,0,3,525,0,2007,0,2,2.0,85.2189781,44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
